fea_ind,fea_name,group,CHR,MAPINFO,gene_set,Lasso,ENet,SGLasso,SGLasso_rank,Pclogit,CDReg,CDReg_rank,diff_loc
3563,cg08120188,393.0,1,230495801.0,PGBD5,0.0,0.0,0.0,3382,0.0,0.02836219901488998,108,31777
32128,cg07964754,3410.0,16,84650202.0,COTL1,0.0,0.0,0.0,3382,0.0,0.02831944880934317,109,128
23492,cg26685409,2483.0,11,64976347.0,CAPN1,0.0,0.0,0.0,3382,0.0,0.02826732654703945,110,4472
19260,cg05246948,2063.0,9,90281970.0,DAPK1,0.0,0.0,0.0,3382,0.0,0.02820089376187912,111,58607
13817,cg11452354,1518.0,6,44187052.0,SLC29A1,0.0,0.0,0.0,3382,0.0,0.02818344614889468,112,57
21346,cg14789214,2277.0,10,103589138.0,KCNIP2,0.0,0.0,0.0,3382,0.0,0.02816705730382838,113,178
631,cg22428027,56.0,1,12128827.0,TNFRSF8,0.0,0.0,0.0,3382,0.0,0.02814654612626596,114,18849
1723,cg20245116,170.0,1,55522013.0,PCSK9,0.0,0.0,0.0,3382,0.0,0.02811466544784179,115,91
32127,cg01227218,3410.0,16,84636947.0,COTL1,0.0,0.0,0.0,3382,0.0,0.02805810469317751,116,13255
32918,cg13748340,3480.0,17,7486331.0,MPDU1,0.0,0.0,0.0,3382,0.0,0.02805642585978878,117,284
1724,cg13462158,170.0,1,55522104.0,PCSK9,0.0,0.0,0.0,3382,0.0,0.02800262966579966,118,1439215
19345,cg21891967,2073.0,9,98075492.0,FANCC,0.0,0.0,0.0,3382,0.0,0.02792569743211772,119,146483
17788,cg09207372,1904.0,8,38763116.0,PLEKHA2,0.0,0.0,0.0,3382,0.0,0.02789535343768586,120,22294
21270,cg13775987,2268.0,10,99393873.0,MORN4,0.0,0.0,0.0,3382,0.0,0.02771910044038618,121,13
12895,cg07321325,1419.0,6,20436876.0,E2F3,0.0,0.0,0.0,3382,0.0,0.02770468698175976,122,21659
38586,cg00494230,4118.0,20,58410902.0,PHACTR3,0.0,0.0,0.0,3382,0.0,0.02769480759870873,123,153075
1722,cg02097511,170.0,1,55519116.0,PCSK9,0.0,0.0,0.0,3382,0.0,0.02755287387723728,124,2897
36414,cg19984804,3843.0,19,9988894.0,OLFM2,0.2222168362554366,0.1937560376986531,0.08201775641032565,662,0.093940798118448,0.02754697222643428,125,33981
10115,cg04522984,1114.0,4,114238277.0,ANK2,0.0,0.0,0.01144934311051542,2638,0.0,0.02751307204624032,126,604
1384,cg01379846,136.0,1,38227521.0,EPHA10,0.0,0.0,0.0,3382,0.0,0.02747027772536359,127,1955
25735,cg18370778,2731.0,12,64845191.0,TBK1,0.0,0.0,0.0,3382,0.0,0.02746673869556312,128,260
1536,cg20276103,150.0,1,44398868.0,ARTN,0.0,0.0,0.0,3382,0.0,0.02744172285264526,129,18
35981,cg23036385,3789.0,19,1290472.0,EFNA2,0.0,0.0,0.0,3382,0.0,0.02742938036367354,130,5110
1379,cg08074336,136.0,1,38189569.0,EPHA10,0.0,0.0,0.0,3382,0.0,0.02738421116753598,131,10682
37820,cg01777575,4031.0,20,22566140.0,FOXA2,0.0,0.0,0.0,3382,0.0,0.02728637562002564,132,33
36598,cg21514227,3865.0,19,15288315.0,NOTCH3,0.0,0.0,0.0,3382,0.0,0.02727631242309993,133,484
3561,cg10608783,393.0,1,230482181.0,PGBD5,0.0,0.0,0.0,3382,0.0,0.02723254511411325,134,7066
36413,cg05729453,3843.0,19,9973735.0,OLFM2,0.0,0.0,0.0,3382,0.0,0.02721146533896516,135,15159
5657,cg17478193,627.0,2,170039067.0,LRP2,0.0,0.0,0.0,3382,0.0,0.02715899995742871,136,18
1383,cg12139725,136.0,1,38219781.0,EPHA10,0.0,0.0,0.0,3382,0.0,0.02715243412582521,137,7740
36416,cg06549128,3843.0,19,10047328.0,OLFM2,0.0,0.0,0.0,3382,0.0,0.02714758634123703,138,29679
2495,cg17588293,260.0,1,154986238.0,ZBTB7B,0.0,0.0,0.0,3382,0.0,0.02709193485253949,139,262
19448,cg06148685,2088.0,9,113800909.0,LPAR1,0.0,0.0,0.0,3382,0.0,0.02689859941915305,140,411
13819,cg02920224,1518.0,6,44190275.0,SLC29A1,0.0,0.0,0.0,3382,0.0,0.02689645247309682,141,221
39456,cg09783874,4209.0,22,20791553.0,SCARF2,0.0,0.0,0.0,3382,0.0,0.02688801664167492,142,690
16760,cg10682316,1814.0,7,149430055.0,KRBA1,0.0,0.0,0.0,3382,0.0,0.0268840119500586,143,43123
10116,cg19949241,1114.0,4,114238881.0,ANK2,0.0,0.0,0.0,3382,0.0,0.02683872266218958,144,23482
231,cg11835575,22.0,1,3447205.0,MEGF6,0.0,0.0,0.0,3382,0.0,0.0267772504007939,145,143
27821,cg13011388,2948.0,14,23834909.0,EFS,0.0,0.0,0.0,3382,0.0,0.0267407988840194,146,303
12893,cg14788563,1419.0,6,20417986.0,E2F3,0.0,0.0,0.0,3382,0.0,0.02667890507613779,147,485
30817,cg13780890,3273.0,16,2060257.0,ZNF598,0.0,0.0,0.01870066488951251,2205,0.0,0.02667279755379515,148,8
21348,cg11685391,2277.0,10,103594334.0,KCNIP2,0.0,0.0,0.0,3382,0.0,0.02664355644261136,149,8958
19446,cg13900023,2088.0,9,113799879.0,LPAR1,0.0,0.0,0.0,3382,0.0,0.02652837376703474,150,628
31522,cg02859129,3349.0,16,55357253.0,IRX6,0.0,0.0,0.06841473824653693,789,0.0,0.02638955017632285,151,819
28799,cg13545750,3055.0,14,96177134.0,TCL1A,0.0,0.0,0.0,3382,0.0,0.02630724077409365,152,3373
21347,cg01699443,2277.0,10,103589316.0,KCNIP2,0.0,0.0,0.0,3382,0.0,0.02629690063093009,153,5018
17592,cg06441516,1882.0,8,26184741.0,PPP2R2A,0.0,0.0,0.0,3382,0.0,0.02629423900602476,154,32169
30772,cg01439105,3266.0,16,1465080.0,UNKL,0.0,0.0,0.0,3382,0.0,0.02628679576952613,155,36
30847,cg03689552,3278.0,16,3292971.0,MEFV,0.0,0.0,0.0,3382,0.0,0.02620613088876239,156,13637
39635,cg13677369,4229.0,22,29702845.0,GAS2L1,0.0,0.0,0.0,3382,0.0,0.02620167033873687,157,9
29499,cg00982984,3131.0,15,45493530.0,SHF,0.0,0.0,0.0,3382,0.0,0.0261554913917144,158,27
17591,cg14990266,1882.0,8,26178981.0,PPP2R2A,0.0,0.0,0.0,3382,0.0,0.02615460173256096,159,5760
10117,cg14918958,1114.0,4,114262363.0,ANK2,0.0,0.0,0.0,3382,0.0,0.02606620196395077,160,113242
8053,cg05891759,892.0,3,121711723.0,ILDR1,0.0,0.0,0.03653885182925627,1455,0.0,0.02605734703689461,161,357
671,cg14027957,60.0,1,13930786.0,PDPN,0.0,0.0,0.2224179379455936,201,0.0,0.0260564353200762,162,98692
7087,cg03144753,786.0,3,28286464.0,CMC1,0.0,0.0,0.0,3382,0.0,0.02601983185049864,163,5280
3562,cg13768301,393.0,1,230489247.0,PGBD5,0.0,0.0,0.0,3382,0.0,0.02577550889912816,164,6554
9547,cg08935526,1048.0,4,25030010.0,LGI2,0.0,0.0,0.0,3382,0.0,0.02561813726303542,165,1941
32917,cg13526636,3480.0,17,7486058.0,MPDU1,0.0,0.0,0.0,3382,0.0,0.02558881772459843,166,273
22950,cg22232843,2424.0,11,35822710.0,TRIM44,0.0,0.0,0.0,3382,0.0,0.02555418719060908,167,143405
6113,cg07804276,688.0,2,219856889.0,CRYBA2,0.0,0.0,0.0,3382,0.0,0.02555191034941473,168,1243
32131,cg06528601,3410.0,16,84652562.0,COTL1,0.0,0.0,0.0,3382,0.0,0.02547134595356916,169,97957
23589,cg14519515,2497.0,11,67033594.0,ADRBK1,0.0,0.0,0.0,3382,0.0,0.02546257925717284,170,3831
24517,cg13153466,2592.0,11,123008499.0,ASAM,0.0,0.0,0.0,3382,0.0,0.0254620351681038,171,20768
13820,cg27379396,1518.0,6,44190496.0,SLC29A1,0.0,0.0,0.0,3382,0.0,0.02546037839238003,172,6684
8054,cg11130432,892.0,3,121712080.0,ILDR1,0.0,0.0,0.06738018737420236,804,0.0,0.02545507965108598,173,2588
1539,cg06207804,150.0,1,44398998.0,ARTN,0.0,0.0,0.0,3382,0.0,0.02538751947416095,174,71
1537,cg18446895,150.0,1,44398886.0,ARTN,0.0,0.0,0.0,3382,0.0,0.02538580142714563,175,73
39637,cg05207227,4229.0,22,29703180.0,GAS2L1,0.0,0.0,0.0,3382,0.0,0.02533264000373706,176,1865
36415,cg00846166,3843.0,19,10022875.0,OLFM2,0.0,0.0,0.0,3382,0.0,0.02530537182814148,177,24453
19449,cg14563260,2088.0,9,113801320.0,LPAR1,0.0,0.0,0.0,3382,0.0,0.0252820054083924,178,856875
21273,cg27165884,2269.0,10,99473085.0,MARVELD1,0.0,0.0,0.0,3382,0.0,0.02525993303832105,179,139
32130,cg11029830,3410.0,16,84652429.0,COTL1,0.0,0.0,0.0,3382,0.0,0.02525370542424695,180,133
14863,cg00418799,1633.0,6,169989419.0,WDR27,0.0,0.0,0.01638151716265944,2331,0.0,0.02520093123540104,181,109819
25737,cg16604658,2731.0,12,64847188.0,TBK1,0.0,0.0,0.0,3382,0.0,0.02515436505381592,182,30201
1538,cg22930187,150.0,1,44398959.0,ARTN,0.0,0.0,0.0,3382,0.0,0.02514200540888257,183,39
15841,cg01139861,1719.0,7,50343298.0,IKZF1,0.0,0.0,0.0,3382,0.0,0.02510495588430245,184,5187
17590,cg14823825,1882.0,8,26170211.0,PPP2R2A,0.0,0.0,0.0,3382,0.0,0.02506483299173771,185,8770
7982,cg06032862,883.0,3,111623848.0,PHLDB2,0.0,0.0,0.0,3382,0.0,0.02505864214043855,186,28210
1380,cg22425711,136.0,1,38200251.0,EPHA10,0.0,0.0,0.0,3382,0.0,0.02504908136810363,187,17943
17589,cg07769452,1882.0,8,26156043.0,PPP2R2A,0.0,0.0,0.0,3382,0.0,0.02504203762042597,188,14168
22072,cg14620839,2339.0,11,299503.0,IFITM5,0.0,0.0,0.0,3382,0.0,0.02504077298096818,189,42
23591,cg13983586,2497.0,11,67042347.0,ADRBK1,0.0,0.0,0.0,3382,0.0,0.0250141885929864,190,4553
9580,cg01590361,1052.0,4,37247954.0,KIAA1239,0.0,0.0,0.0,3382,0.0,0.02499000603963375,191,907
29648,cg25415474,3150.0,15,57789410.0,CGNL1,0.0,0.0,0.0,3382,0.0,0.02498294758684612,192,8108
31529,cg19693071,3349.0,16,55359588.0,IRX6,0.0,0.0,0.0,3382,0.0,0.02496905125792045,193,745
29623,cg18710751,3148.0,15,56189462.0,NEDD4,0.0,0.0,0.0,3382,0.0,0.02493229338468815,194,112
30769,cg00121045,3266.0,16,1416053.0,UNKL,0.0,0.0,0.0,3382,0.0,0.02492312719947087,195,12962
39634,cg16468539,4229.0,22,29702038.0,GAS2L1,0.0,0.0,0.0,3382,0.0,0.02492036508964737,196,807
16726,cg14875032,1809.0,7,139742342.0,PARP12,0.0,0.0,0.0,3382,0.0,0.02487135050725154,197,74
16759,cg27179571,1814.0,7,149419822.0,KRBA1,0.02755287495170708,0.02732490513903314,0.01694765830076279,2298,0.0,0.02486580668079125,198,10233
5186,cg22007486,569.0,2,119602212.0,EN1,0.0,0.0,0.0,3382,0.0,0.02479213407982027,199,2101
36480,cg01274826,3852.0,19,12596128.0,ZNF709,0.0,0.0,0.0,3382,0.0,0.0247765834260225,200,10639
3566,cg10538347,393.0,1,230561750.0,PGBD5,0.0,0.0,0.0,3382,0.0,0.02472688015430954,201,601643
7025,cg19102621,779.0,3,21584249.0,ZNF385D,0.0,0.0,0.0,3382,0.0,0.02472180444051676,202,208185
22071,cg08437786,2339.0,11,298670.0,IFITM5,0.0,0.0,0.0,3382,0.0,0.02469678369589558,203,833
9735,cg23954243,1065.0,4,48748937.0,FRYL,0.0,0.0,0.0,3382,0.0,0.02469595285718203,204,6016
38652,cg24587268,4123.0,20,60813121.0,OSBPL2,0.0,0.0,0.0,3382,0.0,0.02469211972518208,205,2331
16813,cg03426615,1822.0,7,150773354.0,SLC4A2,0.0,0.0,0.0,3382,0.0,0.02467450790513626,206,9185
37821,cg15218073,4031.0,20,22566173.0,FOXA2,0.0,0.0,0.0,3382,0.0,0.02467427262337667,207,704
35686,cg00368259,3761.0,18,67602690.0,CD226,0.0,0.0,0.0,3382,0.0,0.02456989330192779,208,13628
17349,cg16687420,1857.0,8,11726495.0,CTSB,0.0,0.0,0.0,3382,0.0,0.02453397852166735,209,1236988
30773,cg01615339,3266.0,16,1465116.0,UNKL,0.0,0.0,0.0,3382,0.0,0.02452368004298205,210,41366
29649,cg00874463,3150.0,15,57797518.0,CGNL1,0.0,0.0,0.0,3382,0.0,0.02451267326816633,211,96
5184,cg06484622,569.0,2,119600698.0,EN1,0.0,0.0,0.0,3382,0.0,0.02448231947032782,212,250
230,cg03457400,22.0,1,3426236.0,MEGF6,0.0,0.0,0.0,3382,0.0,0.02447259939263484,213,20969
36412,cg00592795,3843.0,19,9969064.0,OLFM2,0.0,0.0,0.0,3382,0.0,0.02444852467675534,214,4671
6745,cg19619174,750.0,3,8810139.0,OXTR,0.0,0.0,0.05729811194907016,964,0.0,0.0244042132786996,215,67
16727,cg22140618,1809.0,7,139742416.0,PARP12,0.0,0.0,0.0,3382,0.0,0.02428992369346875,216,12335
16725,cg06115314,1809.0,7,139742085.0,PARP12,0.0,0.0,0.0,3382,0.0,0.02417869571213453,217,257
3565,cg21979135,393.0,1,230528474.0,PGBD5,0.0,0.0,0.0,3382,0.0,0.02414227850728331,218,33276
22981,cg10754646,2427.0,11,41453445.0,LRRC4C,0.0,0.0,0.0,3382,0.0,0.0241347436089325,219,27719
7981,cg24667736,883.0,3,111584232.0,PHLDB2,0.0,0.0,0.0,3382,0.0,0.02413330348849569,220,39616
30771,cg16644245,3266.0,16,1453364.0,UNKL,0.0,0.0,0.0,3382,0.0,0.02402694387890362,221,11716
12868,cg24067911,1416.0,6,16729610.0,ATXN1,0.0,0.0,0.0,3382,0.0,0.02396150761002921,222,18550
14752,cg22702351,1624.0,6,163673239.0,PACRG,0.0,0.0,0.1256976915961828,411,0.0,0.0239550202056789,223,8221
14751,cg07343445,1624.0,6,163673130.0,PACRG,0.01770206250695006,0.02077255010264701,0.2558280855316217,165,0.011003173573375,0.02393420120114769,224,109
